AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
Cat       ,Dolores,RAGDOLL   ,RAGDOL,White     ,N,F,1,MOOLOOLABA
D         ,Obi,COBBERDOG ,COBBER,Gold      ,N,M,0,FOREST GLEN
D         ,Bella,MASTIFFX  ,MASTIF,BrownBrin ,Y,F,3,BARINGA
D         ,Leah,MASTIFFX  ,MASTIF,Tan       ,Y,F,2,BARINGA
D         ,Uni,JACKRUSSL ,JACKRU,TanWhite  ,N,M,0,MOUNTAIN CREEK
D         ,Budah,SHIHTZUX  ,SHIHTZ,White     ,Y,M,10,MAROOCHYDORE
D         ,Rocky,CHIHUAHUA ,CHIHUA,BlackTan  ,Y,M,7,MOUNTAIN CREEK
D         ,Bear,COLLBORDR ,COLLBO,BlackWhite,Y,M,7,MOUNTAIN CREEK
D         ,Fonzie,STAFFRDBT ,STAFFR,Black     ,N,M,0,BLI BLI
D         ,Narla,FOXTERRMN ,FOXTER,TriColour ,Y,F,1,BLI BLI
D         ,Maia,RETRIEVGD ,RETRIE,Gold      ,N,F,0,NAMBOUR
D         ,Benji,MALTESEX  ,MALTES,BlackWhite,N,M,0,BARINGA
Cat       ,Sabbath,RAGDOLL   ,RAGDOL,SmokeyGrey,Y,M,0,BARINGA
D         ,Bella,MALTESEX  ,MALTES,BlackWhite,Y,F,0,YANDINA
D         ,Spot,STAFFRDBT ,STAFFR,White     ,Y,M,2,MOOLOOLABA
Cat       ,Angel,DOMSH     ,DOMSH ,BlackWhite,Y,F,14,MOOLOOLABA
Cat       ,Cookie,DOMSH     ,DOMSH ,BlackWhite,Y,F,9,MOOLOOLABA
D         ,Phoebe,BICHONFRS ,BICHON,White     ,Y,F,0,NAMBOUR
Cat       ,Leo,DOMSH     ,DOMSH ,White     ,Y,M,2,LANDSBOROUGH
D         ,Willow,STAFFRDBT ,STAFFR,Blue      ,N,F,0,LITTLE MOUNTAIN
D         ,Arthur,DACHSHUND ,DACHSH,BlackBrown,N,M,0,SIPPY DOWNS
Cat       ,Seline,DOMMH     ,DOMMH ,Grey      ,Y,F,0,COOLUM BEACH
D         ,Pumba,ENGLISHBT ,ENGLIS,Black     ,Y,M,9,PEACHESTER
D         ,Gabby,DOGUEBOR  ,DOGUEB,Tan       ,Y,F,2,DIAMOND VALLEY
